match_id,season,match_date,venue,city,match_number,team_1,team_2,toss_winner,toss_decision,match_winner,player_of_match,win_type,win_margin,has_super_over
1422119,2024,2024-03-22,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,bat,Chennai Super Kings,Mustafizur Rahman,wickets,6,0
1422120,2024,2024-03-23,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,2,Delhi Capitals,Punjab Kings,Punjab Kings,field,Punjab Kings,SM Curran,wickets,4,0
1422121,2024,2024-03-23,"Eden Gardens, Kolkata",Kolkata,3,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,AD Russell,run,4,0
1422122,2024,2024-03-24,"Sawai Mansingh Stadium, Jaipur",Jaipur,4,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,bat,Rajasthan Royals,SV Samson,run,20,0
1422123,2024,2024-03-24,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,5,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,Gujarat Titans,B Sai Sudharsan,run,6,0
1422124,2024,2024-03-25,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,6,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,V Kohli,wickets,4,0
1422125,2024,2024-03-26,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,7,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,Chennai Super Kings,S Dube,run,63,0
1422126,2024,2024-03-27,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,8,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Sunrisers Hyderabad,Abhishek Sharma,run,31,0
1422127,2024,2024-03-28,"Sawai Mansingh Stadium, Jaipur",Jaipur,9,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Rajasthan Royals,R Parag,run,12,0
1422128,2024,2024-03-29,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,10,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,SP Narine,wickets,7,0
1422129,2024,2024-03-30,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,11,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,bat,Lucknow Super Giants,MP Yadav,run,21,0
1422130,2024,2024-03-31,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,12,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,bat,Gujarat Titans,MM Sharma,wickets,7,0
1422131,2024,2024-03-31,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,13,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Delhi Capitals,KK Ahmed,run,20,0
